date,time,run_by,nruns,system,species,scenario,Item,Group,Mean,Stdev,Min,Q1,Median,Q3,Max
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Juvenile Male,1157624.513,212508.6836,780095.9237,998894.2191,1121032.958,1273032.636,2136034.482
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Adult Female,606960.9602,7584.704915,593435.5708,601292.0287,605665.4534,611095.9984,641680.9559
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Adult Male,2736850.237,128091.4057,2508477.966,2641115.929,2714962.046,2806668.79,3323387.612
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Overall,4610730.23,365286.351,3960914.052,4337822.182,4548011.899,4809382.019,6289104.179
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Neonatal Combined,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Juvenile Combined,1266919.032,229610.475,859000.5159,1095414.225,1227384.4,1391617.231,2324035.611
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Adult Combined,3343811.197,135676.1105,3101913.537,3242407.958,3320627.499,3417764.788,3965068.568
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Female Combined,716255.4798,24686.48259,672340.1631,697812.0341,712016.8955,729680.5934,829682.0847
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Num Offtake,Male Combined,3894474.75,340599.8684,3288573.889,3640010.148,3835995.004,4079701.426,5459422.094
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Neonatal Female,3125954.037,1792302.982,57164.13941,1795867.067,2793873.762,4063053.585,11828179.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Neonatal Male,3125954.037,1792302.982,57164.13941,1795867.067,2793873.762,4063053.585,11828179.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Juvenile Female,2083943.969,1125484.011,108160.2272,1245006.675,1885293.364,2687731.358,7358755.817
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Juvenile Male,2212841.761,998100.5077,462954.3473,1469024.513,2036210.036,2747577.375,6899540.081
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Adult Female,3171762.354,826436.3345,1703361.901,2554452.607,3029502.615,3620644.865,6975928.384
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Adult Male,1550647.959,658978.2155,380766.196,1058492.29,1437011.872,1908266.899,4587851.211
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Overall,15271104.12,7193259.086,2769570.951,9918710.218,13975765.41,19090327.67,49478433.68
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Neonatal Combined,6251908.073,3584605.963,114328.2788,3591734.134,5587747.524,8126107.169,23656358.18
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Juvenile Combined,4296785.73,2123584.333,571114.5744,2714031.187,3921503.4,5435308.733,14258295.9
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Adult Combined,4722410.313,1485414.494,2084128.097,3612944.897,4466514.487,5528911.765,11563779.6
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Female Combined,8381660.359,3744036.008,1868686.268,5595326.349,7708669.741,10371429.81,26162863.29
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Cml Pop Growth,Male Combined,6889443.756,3449224.439,900884.6826,4323383.87,6267095.669,8718897.86,23315570.38
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Neonatal Female,3125954.037,1792302.982,57164.13941,1795867.067,2793873.762,4063053.585,11828179.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Neonatal Male,3125954.037,1792302.982,57164.13941,1795867.067,2793873.762,4063053.585,11828179.09
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Juvenile Female,2193238.488,1142585.272,187064.8194,1341526.68,1991644.806,2806315.953,7546756.946
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Juvenile Male,3370466.274,1210602.706,1243050.271,2467918.732,3157242.993,4020610.012,9035574.563
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Adult Female,3778723.314,834021.0179,2296797.472,3155744.636,3635168.068,4231740.864,7617609.34
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Adult Male,4287498.196,787069.1984,2889244.162,3699608.219,4151973.918,4714935.689,7911238.823
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Overall,19881834.35,7558505.735,6730485.003,14256532.4,18523777.31,23899709.69,55767537.86
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Neonatal Combined,6251908.073,3584605.963,114328.2788,3591734.134,5587747.524,8126107.169,23656358.18
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Juvenile Combined,5563704.762,2353187.888,1430115.09,3809445.412,5148887.8,6826925.964,16582331.51
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Adult Combined,8066221.51,1621090.214,5186041.634,6855352.855,7787141.986,8946676.553,15528848.16
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Female Combined,9097915.839,3768719.905,2541026.431,6293138.383,8420686.636,11101110.4,26992545.38
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Number Increase,Male Combined,10783918.51,3789785.838,4189458.572,7963394.018,10103090.67,12798599.29,28774992.48
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Mortality,Neonatal Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Mortality,Neonatal Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Mortality,Juvenile Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Mortality,Juvenile Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Mortality,Adult Female,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Mortality,Adult Male,0,0,0,0,0,0,0
14/8/2023,12:54,AL,10000,CLM,S,Ideal,Total Mortality,Overall,0,0,0,0,0,0,0
