species,region,production_system,group,age_group,sex,year,ahle_component,cause,mean,sd,lower95,upper95
Cattle,Sidama,Crop livestock mixed,Juvenile,Juvenile,Overall,2021,Production loss,Non-infectious,816405154.243468,239338588.695637,801571067.412234,831239241.074702
Cattle,Sidama,Crop livestock mixed,Oxen,Oxen,Overall,2021,Mortality,External,2962131.65705646,488933.197007672,2931827.82039305,2992435.49371987
Cattle,Sidama,Crop livestock mixed,Oxen,Oxen,Overall,2021,Mortality,Infectious,6944296.54439985,589216.394525919,6907777.20497189,6980815.88382781
Cattle,Sidama,Crop livestock mixed,Oxen,Oxen,Overall,2021,Mortality,Non-infectious,4433574.46508789,548463.700237537,4399580.95740723,4467567.97276855
Cattle,Sidama,Crop livestock mixed,Oxen,Oxen,Overall,2021,Production loss,External,34588684.1211006,30018516.1752717,32728151.4008418,36449216.8413593
Cattle,Sidama,Crop livestock mixed,Oxen,Oxen,Overall,2021,Production loss,Infectious,116860624.641246,98732287.1080409,110741246.533483,122980002.749009
Cattle,Sidama,Crop livestock mixed,Oxen,Oxen,Overall,2021,Production loss,Non-infectious,104116094.407935,88941683.2499285,98603533.0636235,109628655.752246
Cattle,Sidama,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Mortality,External,121130995.469048,22903274.075303,119711461.919509,122550529.018586
Cattle,Sidama,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Mortality,Infectious,285075278.371022,25643233.9778896,283485923.46785,286664633.274194
Cattle,Sidama,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Mortality,Non-infectious,173036799.140124,22566895.8277289,171638114.147268,174435484.13298
Cattle,Sidama,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Production loss,External,359818541.49777,195647438.283599,347692410.464642,371944672.530899
Cattle,Sidama,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Production loss,Infectious,1203232003.43512,610961622.72447,1165364905.56578,1241099101.30446
Cattle,Sidama,Crop livestock mixed,Sub-adult,Sub-adult,Overall,2021,Production loss,Non-infectious,1022090863.74704,528283283.81893,989348128.25099,1054833599.24309
Cattle,Sidama,Pastoral,Adult,Adult,Overall,2021,Mortality,External,,,,
